Image Name,Detection,Confidence,Quality
Image Name,Detection,Confidence,Quality
frame27611.jpg,smoke,0.29779064655303955,Bad Quality
frame11204.jpg,smoke,0.3130035996437073,Bad Quality
frame8674.jpg,smoke,0.3602319061756134,Bad Quality
frame5177.jpg,smoke,0.3409322500228882,Bad Quality
frame8376.jpg,smoke,0.2515767812728882,Bad Quality
frame11085.jpg,No detection,0,Good Quality
frame14400.jpg,smoke,0.2969023883342743,Bad Quality
frame30339.jpg,smoke,0.3036111891269684,Bad Quality
frame32584.jpg,smoke,0.25949692726135254,Bad Quality
frame35427.jpg,smoke,0.28718024492263794,Bad Quality
frame31520.jpg,smoke,0.3689030706882477,Bad Quality
frame37204.jpg,No detection,0,Good Quality
frame14257.jpg,No detection,0,Good Quality
frame12199.jpg,smoke,0.42571842670440674,Bad Quality
frame36692.jpg,No detection,0,Good Quality
frame40614.jpg,No detection,0,Good Quality
frame29698.jpg,smoke,0.34891143441200256,Bad Quality
frame9551.jpg,smoke,0.3019261658191681,Bad Quality
frame28108.jpg,smoke,0.3469584286212921,Bad Quality
frame21211.jpg,smoke,0.4417892098426819,Bad Quality
frame22629.jpg,No detection,0,Good Quality
frame23423.jpg,smoke,0.47455117106437683,Bad Quality
frame16293.jpg,No detection,0,Good Quality
frame37177.jpg,No detection,0,Good Quality
frame18434.jpg,No detection,0,Good Quality
frame19160.jpg,smoke,0.4612707495689392,Bad Quality
frame20767.jpg,smoke,0.3052208423614502,Bad Quality
frame11390.jpg,No detection,0,Good Quality
frame37980.jpg,smoke,0.27769094705581665,Bad Quality
frame35660.jpg,smoke,0.37079790234565735,Bad Quality
frame19507.jpg,smoke,0.43478959798812866,Bad Quality
frame9822.jpg,smoke,0.3636901378631592,Bad Quality
frame8901.jpg,smoke,0.2765229046344757,Bad Quality
frame7193.jpg,smoke,0.3608326017856598,Bad Quality
frame18281.jpg,No detection,0,Good Quality
frame22652.jpg,smoke,0.27801579236984253,Bad Quality
frame5106.jpg,smoke,0.37054264545440674,Bad Quality
frame18914.jpg,smoke,0.48448848724365234,Bad Quality
frame23877.jpg,smoke,0.39026620984077454,Bad Quality
frame10685.jpg,smoke,0.4145321249961853,Bad Quality
frame11560.jpg,smoke,0.30340588092803955,Bad Quality
frame27086.jpg,smoke,0.36912885308265686,Bad Quality
frame33452.jpg,No detection,0,Good Quality
frame40020.jpg,No detection,0,Good Quality
frame10828.jpg,smoke,0.4002418518066406,Bad Quality
frame26683.jpg,smoke,0.42972850799560547,Bad Quality
frame6353.jpg,No detection,0,Good Quality
frame28225.jpg,smoke,0.3211529850959778,Bad Quality
frame15428.jpg,smoke,0.46423327922821045,Bad Quality
frame30274.jpg,smoke,0.2719305455684662,Bad Quality
frame20846.jpg,smoke,0.4069584906101227,Bad Quality
frame24280.jpg,smoke,0.4648664891719818,Bad Quality
frame17088.jpg,smoke,0.36073994636535645,Bad Quality
frame39714.jpg,No detection,0,Good Quality
frame11813.jpg,smoke,0.4111526906490326,Bad Quality
frame17976.jpg,smoke,0.40054646134376526,Bad Quality
frame24057.jpg,No detection,0,Good Quality
frame26753.jpg,smoke,0.4464952349662781,Bad Quality
frame196.jpg,smoke,0.283779501914978,Bad Quality
frame1941.jpg,smoke,0.4634544849395752,Bad Quality
frame26117.jpg,No detection,0,Good Quality
frame27168.jpg,smoke,0.26761507987976074,Bad Quality
frame22602.jpg,smoke,0.4707129895687103,Bad Quality
frame593.jpg,No detection,0,Good Quality
frame37271.jpg,No detection,0,Good Quality
frame5093.jpg,smoke,0.3301539123058319,Bad Quality
frame11591.jpg,smoke,0.3256602883338928,Bad Quality
frame36555.jpg,No detection,0,Good Quality
frame2547.jpg,smoke,0.36123228073120117,Bad Quality
frame39985.jpg,No detection,0,Good Quality
frame8253.jpg,No detection,0,Good Quality
frame26216.jpg,smoke,0.3772965669631958,Bad Quality
frame5334.jpg,smoke,0.3066498041152954,Bad Quality
frame15986.jpg,smoke,0.4401854872703552,Bad Quality
frame17119.jpg,smoke,0.3754414916038513,Bad Quality
frame7004.jpg,smoke,0.3357047140598297,Bad Quality
frame22724.jpg,smoke,0.2908693850040436,Bad Quality
frame30877.jpg,No detection,0,Good Quality
frame38342.jpg,smoke,0.4029126465320587,Bad Quality
frame24686.jpg,smoke,0.37856781482696533,Bad Quality
frame5366.jpg,smoke,0.4110759496688843,Bad Quality
frame29276.jpg,smoke,0.3687603771686554,Bad Quality
frame17706.jpg,smoke,0.4600565731525421,Bad Quality
frame24688.jpg,smoke,0.38741329312324524,Bad Quality
frame18145.jpg,smoke,0.3305194079875946,Bad Quality
frame37963.jpg,smoke,0.2517256736755371,Bad Quality
frame23831.jpg,smoke,0.44387316703796387,Bad Quality
frame21663.jpg,smoke,0.4566355049610138,Bad Quality
frame22457.jpg,smoke,0.27358144521713257,Bad Quality
frame40657.jpg,No detection,0,Good Quality
frame1409.jpg,smoke,0.38611990213394165,Bad Quality
frame3865.jpg,smoke,0.3458336889743805,Bad Quality
frame36134.jpg,smoke,0.3111203610897064,Bad Quality
frame10222.jpg,smoke,0.3708874583244324,Bad Quality
frame42567.jpg,No detection,0,Good Quality
frame17671.jpg,smoke,0.255610853433609,Bad Quality
frame40405.jpg,No detection,0,Good Quality
frame13775.jpg,smoke,0.4132065176963806,Bad Quality
frame33875.jpg,No detection,0,Good Quality
frame27109.jpg,smoke,0.2773348391056061,Bad Quality
frame11442.jpg,smoke,0.3453236222267151,Bad Quality
frame14487.jpg,smoke,0.3005445599555969,Bad Quality
frame28957.jpg,No detection,0,Good Quality
frame31081.jpg,smoke,0.3743876814842224,Bad Quality
frame18587.jpg,smoke,0.3460940420627594,Bad Quality
frame29450.jpg,smoke,0.2781182527542114,Bad Quality
frame29502.jpg,No detection,0,Good Quality
frame37436.jpg,No detection,0,Good Quality
frame25027.jpg,smoke,0.3042963147163391,Bad Quality
frame9287.jpg,No detection,0,Good Quality
frame27719.jpg,smoke,0.3978513479232788,Bad Quality
frame24264.jpg,smoke,0.38405781984329224,Bad Quality
frame33550.jpg,smoke,0.29132553935050964,Bad Quality
frame1584.jpg,No detection,0,Good Quality
frame35594.jpg,smoke,0.2869197428226471,Bad Quality
frame2358.jpg,smoke,0.30622079968452454,Bad Quality
frame25.jpg,No detection,0,Good Quality
frame33952.jpg,No detection,0,Good Quality
frame10089.jpg,smoke,0.4401887357234955,Bad Quality
frame11796.jpg,smoke,0.3580794036388397,Bad Quality
frame38285.jpg,No detection,0,Good Quality
frame4070.jpg,smoke,0.2633090019226074,Bad Quality
frame40605.jpg,smoke,0.3906255066394806,Bad Quality
frame38353.jpg,No detection,0,Good Quality
frame35848.jpg,No detection,0,Good Quality
frame5592.jpg,smoke,0.3907250165939331,Bad Quality
frame22234.jpg,smoke,0.30939772725105286,Bad Quality
frame26347.jpg,smoke,0.3579780161380768,Bad Quality
frame23773.jpg,smoke,0.43212857842445374,Bad Quality
frame20197.jpg,smoke,0.4278514087200165,Bad Quality
frame36151.jpg,No detection,0,Good Quality
frame735.jpg,No detection,0,Good Quality
frame11356.jpg,smoke,0.32998573780059814,Bad Quality
frame7903.jpg,smoke,0.32706576585769653,Bad Quality
frame25454.jpg,smoke,0.29320964217185974,Bad Quality
frame21607.jpg,smoke,0.4225967526435852,Bad Quality
frame35278.jpg,smoke,0.41226133704185486,Bad Quality
frame26534.jpg,smoke,0.43885618448257446,Bad Quality
frame3906.jpg,smoke,0.36341577768325806,Bad Quality
frame33861.jpg,No detection,0,Good Quality
frame37293.jpg,No detection,0,Good Quality
frame20720.jpg,No detection,0,Good Quality
frame26040.jpg,smoke,0.3004448711872101,Bad Quality
frame10414.jpg,smoke,0.3810340464115143,Bad Quality
frame15917.jpg,No detection,0,Good Quality
frame27538.jpg,smoke,0.33816519379615784,Bad Quality
frame19123.jpg,smoke,0.41572272777557373,Bad Quality
frame202.jpg,smoke,0.2625742554664612,Bad Quality
frame3076.jpg,smoke,0.3454427719116211,Bad Quality
frame24265.jpg,smoke,0.350571870803833,Bad Quality
frame9325.jpg,smoke,0.3142896592617035,Bad Quality
frame12980.jpg,smoke,0.39952322840690613,Bad Quality
frame41157.jpg,smoke,0.3917096257209778,Bad Quality
frame13593.jpg,smoke,0.2914358079433441,Bad Quality
frame7148.jpg,smoke,0.40964987874031067,Bad Quality
frame39179.jpg,smoke,0.26393336057662964,Bad Quality
frame923.jpg,No detection,0,Good Quality
frame2111.jpg,smoke,0.42448586225509644,Bad Quality
frame19809.jpg,smoke,0.4366982877254486,Bad Quality
frame21318.jpg,smoke,0.43161484599113464,Bad Quality
frame18662.jpg,smoke,0.32342076301574707,Bad Quality
